,AOD,temperature_c,relative_humidity_pct,wind_speed_mps,wind_direction_deg,wind_u_mps,wind_v_mps,NDVI,elevation_m,road_density,night_lights,month,day_of_year,sin_day_of_year,cos_day_of_year
AOD,,,,,,,,,,,,,,,
temperature_c,,1.0,0.9948015512439128,-0.792106616364439,0.9217189303433729,-0.7003850043795135,-0.9730612046011936,0.03480341485181743,-0.019744291468631787,-0.045031078723719246,0.26492025627506777,,0.6056974879387556,0.6050250085278119,-0.7181272809280513
relative_humidity_pct,,0.9948015512439128,1.0,-0.8014471138377672,0.9191450374601046,-0.7160604180918849,-0.9828548031511581,0.025638007957310353,-0.01515217539084408,-0.0547766234126907,-0.034180187206400515,,0.6264021414372664,0.6257377409093453,-0.7371585542875676
wind_speed_mps,,-0.792106616364439,-0.8014471138377672,1.0,-0.6559278677169108,0.9885928140926284,0.7944687690864627,0.1879192596701011,-0.18244688840099085,0.23545519112721627,0.2968197138224183,,-0.5301187348026601,-0.5296072982108988,0.6121402628805114
wind_direction_deg,,0.9217189303433729,0.9191450374601046,-0.6559278677169108,1.0,-0.5410289895962322,-0.972046121814799,-0.01630928676607073,-0.009972566321775003,-0.06136299314143243,-0.40767679876545276,,0.5957714945157643,0.5951475101415583,-0.7002894360171663
wind_u_mps,,-0.7003850043795135,-0.7160604180918849,0.9885928140926284,-0.5410289895962322,1.0,0.6960914630472215,0.2047902762412467,-0.1991320881230086,0.2556225178082405,0.1615534135396522,,-0.4674844324243516,-0.46703674449066157,0.5384378422469613
wind_v_mps,,-0.9730612046011936,-0.9828548031511581,0.7944687690864627,-0.972046121814799,0.6960914630472215,1.0,0.041690577845228526,-0.028971957922464417,0.1044579904786405,0.46143406882446575,,-0.6360036780142578,-0.6353590173880955,0.7425436488950673
NDVI,,0.03480341485181743,0.025638007957310353,0.1879192596701011,-0.01630928676607073,0.2047902762412467,0.041690577845228526,1.0,-0.9493283757422575,0.45729433484473425,0.978927797345284,,0.006016623377669928,0.006013031052220016,-0.006248327214548109
elevation_m,,-0.019744291468631787,-0.01515217539084408,-0.18244688840099085,-0.009972566321775003,-0.1991320881230086,-0.028971957922464417,-0.9493283757422575,1.0,-0.4845399275182388,-0.9715078203344705,,-0.02205261537524341,-0.02205834890815989,0.019901455539823983
road_density,,-0.045031078723719246,-0.0547766234126907,0.23545519112721627,-0.06136299314143243,0.2556225178082405,0.1044579904786405,0.45729433484473425,-0.4845399275182388,1.0,0.5617363497404894,,-0.047018681470109666,-0.047049140599580805,0.03394015198166961
night_lights,,0.26492025627506777,-0.034180187206400515,0.2968197138224183,-0.40767679876545276,0.1615534135396522,0.46143406882446575,0.978927797345284,-0.9715078203344705,0.5617363497404894,1.0,,-0.0020759847383650105,-0.0020705538142799292,0.004924173422587789
month,,,,,,,,,,,,,,,
day_of_year,,0.6056974879387556,0.6264021414372664,-0.5301187348026601,0.5957714945157643,-0.4674844324243516,-0.6360036780142578,0.006016623377669928,-0.02205261537524341,-0.047018681470109666,-0.0020759847383650105,,1.0,0.9999994634125973,-0.9774198224536045
sin_day_of_year,,0.6050250085278119,0.6257377409093453,-0.5296072982108988,0.5951475101415583,-0.46703674449066157,-0.6353590173880955,0.006013031052220016,-0.02205834890815989,-0.047049140599580805,-0.0020705538142799292,,0.9999994634125973,1.0,-0.9772023380162533
cos_day_of_year,,-0.7181272809280513,-0.7371585542875676,0.6121402628805114,-0.7002894360171663,0.5384378422469613,0.7425436488950673,-0.006248327214548109,0.019901455539823983,0.03394015198166961,0.004924173422587789,,-0.9774198224536045,-0.9772023380162533,1.0
